symbol,exchange,ltp,volume,oi,bid,ask,change_pct,name
RELIANCE,NSE,2920.50,1250000,,2919.00,2921.00,0.45,Reliance Industries
TCS,NSE,4150.00,890000,,4148.50,4151.00,-0.22,Tata Consultancy Services
INFY,NSE,1880.25,1100000,,1879.50,1880.75,0.18,Infosys
HDFCBANK,NSE,1685.40,980000,,1684.80,1685.90,-0.35,HDFC Bank
ICICIBANK,NSE,1245.60,1050000,,1245.10,1246.00,0.62,ICICI Bank
SBIN,NSE,825.15,1400000,,824.80,825.40,0.28,State Bank of India
ITC,NSE,462.30,750000,,462.00,462.50,-0.12,ITC
LT,NSE,3650.00,420000,,3648.00,3651.50,0.55,Larsen & Toubro
HINDUNILVR,NSE,2485.75,310000,,2484.50,2486.25,-0.08,Hindustan Unilever
BHARTIARTL,NSE,1588.20,680000,,1587.50,1588.80,0.41,Bharti Airtel
NIFTY 50,NSE,24580.30,0,,,0.35,Nifty 50 Index
SENSEX,BSE,80650.10,0,,,0.32,BSE Sensex
GOLD,OTHER,72500.00,0,,,0.15,Gold (sample)
CRUDEOIL,OTHER,6250.00,0,,,-0.40,Crude Oil (sample)
USDINR,OTHER,83.45,0,,,0.05,USD/INR (sample)
